"Information","Información"
"Contact","Contacto"
"Please visit us on <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> for more language packs.","Por favor, visitenos en <a href='https://github.com/MaWoScha' target='_blank'>GitHub</a> para ver más paquetes de idioma."
"powered by","proporcionado por"
"Installed Language Packs","Paquetes de idioma instalados"
"You have installed the following:","Ha instalado lo siguiente:"
"Instructions","Instrucciones"
"The %s language pack in version %s has been successfully installed.","El paquete de idioma <span style='color:red'>%s</span> en la versión <span style='color:red'>%s</span> se ha instalado correctamente."
"Magento has only one variable available for the locale (<a href='%s'>locale</a>). This extension now provides two settings:","Magento mantiene sólo una variable para la configuración regional (<a href='%s'>locale</a>). Esta extensión ahora ofrece dos configuraciones disponibles:"
"Locale Fallback","Idioma segunda opción"
"Locale Preferred","Idioma preferido"
"Now it is possible to use a preferred language with a fallback language. Thus it can be set as the preferred language a partially available language, the fallback language then takes over the lack of rest.","Ahora es posible utilizar una configuración regional preferida con un idioma de reserva. Por lo tanto, se puede establecer que el entorno local un idioma parcialmente disponible preferido, el idioma de reserva luego toma por la falta de descanso."
"You want to sell and make use of the language of your target audience. Magento supports it – at least in theory. Practically, it is then but so that for most languages no language packs are available for Magento. Creating your own custom language pack fails again mostly at the expense: The language files of Magento contain several thousand entries.","Quiere vender y hacer uso de la lengua de su público objetivo. Magento es compatible con ella - por lo menos en teoría. Prácticamente, es entonces, pero por lo que para la mayoría de las lenguas no hay paquetes de idiomas están disponibles para Magento. Creación de su propio paquete de idioma personalizado falla de nuevo a expensas principalmente: Los archivos de idioma de Magento contienen varios miles de entradas."
"However, the complexity is significantly lower when only a limited selection of entries had to be translated and for the rest a fallback language could be defined. That would be also safe in case of updating the Magento software.","Sin embargo, la complejidad es significativamente menor cuando sólo una selección limitada de entradas tuvo que ser traducido y para el resto podría ser definido un idioma alternativo. Eso sería también seguro en caso de actualización del software de Magento."
"The fallback language, which complements the missing entries of their own language pack, can be defined here. First, however, one's own language pack must be installed. The process can be reversed.","El idioma de segunda opción, que complementa las entradas que faltan de su propio paquete de idioma, se puede definir aquí. En primer lugar, sin embargo, se debe instalar un paquete de idioma de cuenta. El proceso se puede invertir."
"This package is simply adding three Static Blocks to the <a href='%s'>E-Mail-Templates</a>:","Esta extensión simplemente agrega tres bloques estáticos en las <a href='%s'>plantillas de correo electrónico</a>:"
"Salutation","Saludo"
"Contact information","Información del contacto"
"Closing formula","Fórmula de clausura"
"The static blocks can be managed by the <a href='%s'>CMS system</a> in the admin area.","Los bloques estáticos pueden ser manejados por el <a href='%s'>sistema de CMS</a> en el área de administración."
"Translations are differing, values from Locale Fallback will be used.","Las traducciones son diferentes, la segunda opción será utilizada."
"Translations are identical, you can safely switch off the Locale Fallback.","Las traducciones son idénticas, se puede deshabilitar la segunda opción."
"Extra locales","Configuración adicional"
"Locale list","Configuración regional"
"Fallback list","Idioma segunda opción"
"You can type in here more locales, comma-separated, like ""de_LU,en_IN,en_ZA,es_CU,fr_BE"".","Aquí puede insertar más locales, separado por comas, como ""de_LU,en_IN,en_ZA,es_CU,fr_BE""."
"You can type in here more fallback languages, comma-separated, like ""ar,en,ur"".","Aquí puede insertar más idiomas de segunda opción, separado por comas, como ""ar,en,ur""."
"Email Support Template","Email - Plantilla para contactos"
